City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Husavik,IS,2022-04-12 18:35:20,66.0449,-17.3389,35.2,74,100,11.81
203,Vao,NC,2022-04-12 18:35:20,-22.6667,167.4833,75.78,72,1,12.24
204,Oussouye,SN,2022-04-12 18:35:20,12.485,-16.5469,84.38,66,54,13.38
205,Thompson,CA,2022-04-12 18:32:11,55.7435,-97.8558,32.16,59,75,9.22
206,Cidreira,BR,2022-04-12 18:35:21,-30.1811,-50.2056,72.23,89,97,6.17
207,Guiratinga,BR,2022-04-12 18:35:21,-16.3494,-53.7583,89.26,44,9,7.96
208,Fairbanks,US,2022-04-12 18:35:22,64.8378,-147.7164,38.48,42,20,10.36
209,Kathu,TH,2022-04-12 18:35:22,7.9178,98.3332,87.69,84,100,9.8
210,Tiksi,RU,2022-04-12 18:35:23,71.6872,128.8694,-14.8,100,98,4.54
211,Risti,EE,2022-04-12 18:35:23,58.9975,24.058,38.53,70,0,4.25
212,Alexandria,EG,2022-04-12 18:32:45,31.2156,29.9553,60.76,59,40,13.8
213,Yabelo,ET,2022-04-12 18:35:24,4.8833,38.0833,63.1,69,62,6.02
214,Manzhouli,CN,2022-04-12 18:35:24,49.6,117.4333,28.76,69,21,4.45
215,Shintomi,JP,2022-04-12 18:35:24,32.0785,131.4723,62.31,95,12,2.75
216,Saldanha,ZA,2022-04-12 18:35:25,-33.0117,17.9442,66.25,85,100,10.33
217,Cabedelo,BR,2022-04-12 18:35:25,-6.9811,-34.8339,86.67,72,100,11.03
218,Kaitangata,NZ,2022-04-12 18:35:26,-46.2817,169.8464,46.87,82,100,4.88
219,Machiques,VE,2022-04-12 18:35:26,10.0644,-72.545,92.23,48,94,11.34
220,Nishihara,JP,2022-04-12 18:35:27,26.1842,127.7558,72.68,94,100,10.36
221,Victoria,HK,2022-04-12 18:35:24,22.2855,114.1577,77.38,89,10,4.0
222,Aguimes,ES,2022-04-12 18:35:27,27.9054,-15.4461,65.03,64,20,25.32
223,Beibei,CN,2022-04-12 18:35:28,29.8256,106.4339,63.37,86,0,2.06
224,Kirgiz-Miyaki,RU,2022-04-12 18:35:28,53.6324,54.7979,41.32,91,65,6.35
225,Ilulissat,GL,2022-04-12 18:36:29,69.2167,-51.1,30.22,51,0,6.91
226,Rahimatpur,IN,2022-04-12 18:36:29,17.6,74.2,84.65,39,100,3.71
227,Havre-Saint-Pierre,CA,2022-04-12 18:36:29,50.2334,-63.5986,39.56,60,100,5.75
